pIllAppearingStrat3,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0500325,,4377.840015,3709.65676,3752.155729,,29.07265838,29.07651552,29.07788641,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,31000.94187
0.050115,,4377.840015,3709.65676,3753.473287,,29.07265838,29.07651552,29.07787916,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,32131.88336
0.0501975,,4377.840015,3709.65676,3754.790845,,29.07265838,29.07651552,29.07787192,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,33274.90872
0.05028,,4377.840015,3709.65676,3756.108404,,29.07265838,29.07651552,29.07786467,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,34430.21268
0.0503625,,4377.840015,3709.65676,3757.425962,,29.07265838,29.07651552,29.07785742,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,35597.99414
0.050445,,4377.840015,3709.65676,3758.74352,,29.07265838,29.07651552,29.07785018,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,36778.45634
0.0505275,,4377.840015,3709.65676,3760.061078,,29.07265838,29.07651552,29.07784293,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,37971.80695
0.05061,,4377.840015,3709.65676,3761.378636,,29.07265838,29.07651552,29.07783569,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,39178.25822
0.0506925,,4377.840015,3709.65676,3762.696195,,29.07265838,29.07651552,29.07782844,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,40398.02706
0.050775,,4377.840015,3709.65676,3764.013753,,29.07265838,29.07651552,29.07782119,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,41631.33521
0.0508575,,4377.840015,3709.65676,3765.331311,,29.07265838,29.07651552,29.07781395,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,42878.40935
0.05094,,4377.840015,3709.65676,3766.648869,,29.07265838,29.07651552,29.0778067,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,44139.48126
0.0510225,,4377.840015,3709.65676,3767.966427,,29.07265838,29.07651552,29.07779945,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,45414.78794
0.051105,,4377.840015,3709.65676,3769.283986,,29.07265838,29.07651552,29.07779221,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,46704.57178
0.0511875,,4377.840015,3709.65676,3770.601544,,29.07265838,29.07651552,29.07778496,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,48009.0807
0.05127,,4377.840015,3709.65676,3771.919102,,29.07265838,29.07651552,29.07777771,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,49328.56832
0.0513525,,4377.840015,3709.65676,3773.23666,,29.07265838,29.07651552,29.07777047,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,50663.29411
0.051435,,4377.840015,3709.65676,3774.554218,,29.07265838,29.07651552,29.07776322,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,52013.52358
