,Unnamed: 0,variable,mean,lower,upper,alpha,beta,beta_mean,beta_2.5pct,beta_97.5pct
0,1,pReadmission,4.02108933578079e-05,7.9668163287316e-06,7.24549703868843e-05,2.8549734284043606,70997.1450265716,4.02108933578079e-05,7.847246443569996e-06,9.849476721779382e-05
1,2,pLTSCSFPos,0.261985517142766,0.11471622869529902,0.409254805590234,6.54963792856915,18.45036207143085,0.261985517142766,0.11312394089421864,0.44681004628923704
2,3,pOtotoxicity,0.0134748156851303,0.00128726451246248,0.0256623668577981,1.7247764076966785,126.27522359230332,0.0134748156851303,0.0012838777257590185,0.039364809393444555
3,4,pLTSAfterReadmission,0.0847457627118644,0.0113578028836314,0.15813372254009697,2.0338983050847457,21.966101694915253,0.0847457627118644,0.011186592957765976,0.22167445859421853
4,5,pDeathAfterReadmission,0.00230059992567293,0.00225082940908246,0.00235037044226339,4601.19985134586,1995398.8001486543,0.0023005999256729298,0.002234674825812813,0.0023674678058309695
5,6,pYellow,0.0941116733151912,0.0584416927017258,0.129781653928657,19.57522804955977,188.42477195044023,0.0941116733151912,0.05838101355389611,0.13721697090264262
6,7,pRed,0.0386399402359413,0.0306036768212422,0.0466762036506404,38.639940235941296,961.3600597640587,0.0386399402359413,0.0275991903911272,0.05142579122043045
7,8,pIllAppearingBCPosYellow,0.153846153846154,0.0562641530480047,0.251428154644303,5.230769230769236,28.769230769230766,0.153846153846154,0.055272320436689976,0.2906856918332107
8,9,pIllAppearingNoChorio,0.0537120723047127,0.0486875041764555,0.05873664043297,375.9845061329889,6624.015493867011,0.0537120723047127,0.04855302785247657,0.05911262436781051
9,10,pIllAppearingGreen,0.0144230769230769,0.004635230110727821,0.024210923735426004,4.874999999999992,333.125,0.0144230769230769,0.004627424392294035,0.029579287330139037
10,11,pIllAppearingStrat3,0.0410414827890556,0.0383176140291976,0.0437653515489136,779.7881729920565,18220.211827007945,0.0410414827890556,0.03826675403257675,0.043907721022217405
11,12,pCSFPosDeath,0.0430066541384832,0.00574401207174994,0.0802692962052165,2.0643193986471937,45.9356806013528,0.04300665413848321,0.005634766857172522,0.11513234445999865
12,13,pCSFNegDeath,0.0392156862745098,1e-06,0.0998866728748876,0.3137254901960784,7.686274509803922,0.0392156862745098,7.489223484314974e-07,0.2326347089568868
13,14,pCSFPos,0.0242277775388505,1e-06,0.0668006258360679,0.3149611080050565,12.685038891994942,0.024227777538850505,4.6717730074195854e-07,0.14619631194823757
14,15,pSepsis1,0.0192307692307692,0.0053770973994172,0.0330844410621213,4.07692307692307,207.92307692307693,0.0192307692307692,0.005375526466620158,0.04152263373641196
15,16,pSepsis1c,0.00647773279352227,0.00175562717599288,0.0111998384110517,3.9578947368421074,607.0421052631579,0.00647773279352227,0.001754534505318004,0.014201611027879646
16,17,pSepsis2red,0.00854426571462955,0.0073993117000917905,0.0096892197291673,196.51811143647967,22803.48188856352,0.00854426571462955,0.00739579893638672,0.009773657477205266
17,18,pSepsis2YellowBCPos*ξ,0.0012150128169035,0.000950671672553408,0.00147935396125358,71.6857561973065,58928.31424380269,0.0012150128169035,0.0009502643464403622,0.0015117580093143568
18,19,pSepsis2Green*λ,0.000106672666196014,7.823769342965258e-05,0.000135107638962375,45.86924646428602,429954.1307535357,0.000106672666196014,7.806159197530608e-05,0.00013968120792995364
19,20,pSepsis3*κ,0.000343238207315877,7.21785963800173e-05,0.000614297818251737,2.745905658527016,7997.254094341473,0.000343238207315877,6.40412775164273e-05,0.0008520456278002797
20,21,pChorio,0.0590100672811175,0.0471523417026703,0.0708677928595648,59.0100672811175,940.9899327188825,0.059010067281117504,0.04526779881980982,0.07442147497130835
