,Description,Value,Lower Bound,Upper Bound,alpha,beta,beta_mean,beta_2.5pct,beta_97.5pct
0,Child-Ototoxicity,25.66,23.8,27.51,641.5,0.04,641.54,23.71248638714002,27.683277350796835
1,Child-NCD,20.71,17.31,22.87,129.4375,0.16,129.5975,17.296094134322736,24.426825982015682
