pOtotoxicity,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
1.0E-4,,205770.9406125299,205553.50988895094,205645.72648473256,,29.08275955796691,29.08277895696175,29.08279343153344,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,6370937.791065058
5.351666666666668E-4,,205795.75415422753,205569.44010641394,205655.02840447077,,29.082523755637023,29.082627572591115,29.082705035673893,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,1104891.4526370666
9.703333333333335E-4,,205820.5676959252,205585.37032387697,205664.330324209,,29.082287953307137,29.082476188220465,29.08261663981435,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,562186.573661808
0.0014055000000000003,,205845.38123762285,205601.30054133997,205673.6322439472,,29.08205215097725,29.08232480384982,29.08252824395481,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,355542.98701770604
0.0018406666666666669,,205870.19477932047,205617.23075880302,205682.9341636854,,29.081816348647372,29.082173419479183,29.08243984809527,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,246607.9126464333
0.0022758333333333333,,205895.00832101813,205633.160976266,205692.23608342363,,29.081580546317486,29.082022035108533,29.082351452235724,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,179332.22738445757
0.0027110000000000003,,205919.8218627158,205649.09119372902,205701.53800316184,,29.0813447439876,29.08187065073789,29.082263056376178,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,133654.57657986638
0.003146166666666667,,205944.63540441342,205665.02141119205,205710.83992290008,,29.08110894165771,29.081719266367244,29.082174660516635,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,100612.86858713902
0.0035813333333333335,,205969.44894611102,205680.95162865508,205720.1418426383,,29.08087313932783,29.081567881996605,29.082086264657093,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,75600.93531356553
0.004016500000000001,,205994.26248780868,205696.88184611808,205729.44376237647,,29.080637336997945,29.08141649762596,29.08199786879755,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,56008.82508371489
0.004451666666666667,,206019.0760295063,205712.8120635811,205738.7456821147,,29.08040153466806,29.08126511325531,29.08190947293801,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,40247.11543864878
0.004886833333333334,,206043.88957120397,205728.74228104413,205748.04760185292,,29.080165732338177,29.08111372888467,29.081821077078462,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,27292.528599359404
0.005322000000000001,,206068.7031129016,205744.67249850713,205757.34952159112,,29.079929930008294,29.080962344514024,29.08173268121892,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,16456.4702725669
0.005757166666666667,,206093.51665459925,205760.60271597016,205766.65144132933,,29.079694127678408,29.08081096014338,29.081644285359378,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Cost Saving,7258.5411350336235
0.006192333333333334,,206118.3301962969,205776.53293343316,205775.95336106754,,29.079458325348522,29.080659575772742,29.081555889499835,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.006627500000000001,,206143.14373799454,205792.4631508962,205785.25528080578,,29.079222523018636,29.080508191402092,29.081467493640293,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.007062666666666668,,206167.9572796922,205808.39336835922,205794.557200544,,29.078986720688754,29.080356807031446,29.081379097780747,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.007497833333333335,,206192.77082138986,205824.32358582225,205803.85912028223,,29.078750918358867,29.080205422660804,29.0812907019212,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.007933,,206217.5843630875,205840.25380328525,205813.16104002044,,29.078515116028985,29.080054038290164,29.081202306061662,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.008368166666666666,,206242.39790478512,205856.18402074825,205822.46295975865,,29.0782793136991,29.07990265391952,29.08111391020212,,0.999980610687531,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.008803333333333333,,206267.2114464828,205872.11423821127,205831.76487949686,,29.07804351136921,29.079751269548872,29.081025514342574,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0092385,,206292.02498818043,205888.04445567433,205841.06679923506,,29.07780770903933,29.079599885178233,29.080937118483032,,0.9999806106875311,0.9999806106875311,0.9999806106875312,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
