pConcernGreen,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.014,,218897.9591512034,218850.50733650746,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.06951421921575458,0.0677831051919235,,0.06844063180550133,0.03234715826297552,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0148,,218897.9591512034,218851.53546346864,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243918,0.999987499724392,,0.14170419324320557,0.07104365793575458,0.0677831051919235,,0.06844063180550133,0.033111845558114916,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0156,,218897.9591512034,218852.56359042972,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07257309665575458,0.0677831051919235,,0.06844063180550133,0.0338765328532543,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.016399999999999998,,218897.9591512034,218853.59171739093,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07410253537575458,0.0677831051919235,,0.06844063180550133,0.0346412201483937,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0172,,218897.9591512034,218854.61984435204,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07563197409575459,0.0677831051919235,,0.06844063180550133,0.035405907443533086,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.018,,218897.9591512034,218855.64797131316,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07716141281575459,0.0677831051919235,,0.06844063180550133,0.036170594738672485,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.018799999999999997,,218897.9591512034,218856.67609827433,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07869085153575457,0.0677831051919235,,0.06844063180550133,0.03693528203381187,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0196,,218897.9591512034,218857.70422523544,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.08022029025575458,0.0677831051919235,,0.06844063180550133,0.03769996932895127,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.020399999999999998,,218897.9591512034,218858.73235219662,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.08174972897575458,0.0677831051919235,,0.06844063180550133,0.03846465662409067,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.021199999999999997,,218897.9591512034,218859.76047915773,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.08327916769575458,0.0677831051919235,,0.06844063180550133,0.03922934391923005,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.022,,218897.9591512034,218860.78860611885,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.08480860641575458,0.0677831051919235,,0.06844063180550133,0.03999403121436945,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
