pYellow,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.024,,218897.9591512034,218854.77188234185,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243922,0.999987499724392,,0.14170419324320557,0.07610938648767929,0.0677831051919235,,0.06844063180550133,0.03564460363048913,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.024900000000000002,,218897.9591512034,218854.9241245767,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07628525349709106,0.0677831051919235,,0.06844063180550133,0.035732533448122716,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0258,,218897.9591512034,218855.0763668115,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07646112050650282,0.0677831051919235,,0.06844063180550133,0.035820463265756296,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0267,,218897.9591512034,218855.22860904632,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07663698751591458,0.0677831051919235,,0.06844063180550133,0.035908393083389875,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0276,,218897.9591512034,218855.38085128117,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07681285452532635,0.0677831051919235,,0.06844063180550133,0.03599632290102346,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0285,,218897.9591512034,218855.533093516,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698872153473811,0.0677831051919235,,0.06844063180550133,0.036084252718657034,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.029400000000000003,,218897.9591512034,218855.6853357508,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243922,0.999987499724392,,0.14170419324320557,0.07716458854414987,0.0677831051919235,,0.06844063180550133,0.03617218253629062,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0303,,218897.9591512034,218855.83757798563,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07734045555356164,0.0677831051919235,,0.06844063180550133,0.03626011235392419,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.031200000000000002,,218897.9591512034,218855.98982022045,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243922,0.999987499724392,,0.14170419324320557,0.07751632256297342,0.0677831051919235,,0.06844063180550133,0.03634804217155778,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.032100000000000004,,218897.9591512034,218856.14206245527,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243922,0.999987499724392,,0.14170419324320557,0.07769218957238518,0.0677831051919235,,0.06844063180550133,0.03643597198919136,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.033,,218897.9591512034,218856.2943046901,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.07786805658179694,0.0677831051919235,,0.06844063180550133,0.03652390180682494,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
