pConcernYellow,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.068,,218897.9591512034,218853.7054534288,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.07427172877963223,0.0677831051919235,,0.06844063180550133,0.034725813303173134,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0786,,218897.9591512034,218854.11115574327,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.07487525037963222,0.0677831051919235,,0.06844063180550133,0.03502756145027261,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0892,,218897.9591512034,218854.51685805776,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07547877197963224,0.0677831051919235,,0.06844063180550133,0.03532930959737209,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0998,,218897.9591512034,218854.92256037224,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07608229357963223,0.0677831051919235,,0.06844063180550133,0.035631057744471575,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.1104,,218897.9591512034,218855.32826268676,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243922,0.999987499724392,,0.14170419324320557,0.07668581517963223,0.0677831051919235,,0.06844063180550133,0.03593280589157105,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.121,,218897.9591512034,218855.7339650013,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07728933677963223,0.0677831051919235,,0.06844063180550133,0.03623455403867053,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.1316,,218897.9591512034,218856.1396673158,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07789285837963222,0.0677831051919235,,0.06844063180550133,0.03653630218577,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.1422,,218897.9591512034,218856.5453696303,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07849637997963221,0.0677831051919235,,0.06844063180550133,0.036838050332869486,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.1528,,218897.9591512034,218856.95107194476,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07909990157963223,0.0677831051919235,,0.06844063180550133,0.03713979847996897,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.1634,,218897.9591512034,218857.35677425924,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.9999874997243919,0.999987499724392,,0.14170419324320557,0.07970342317963222,0.0677831051919235,,0.06844063180550133,0.037441546627068445,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.174,,218897.9591512034,218857.76247657376,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.08030694477963221,0.0677831051919235,,0.06844063180550133,0.03774329477416792,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
