pConcernECO,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.02,,218897.9591512034,218855.52768045873,218832.88565975183,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.044901053909872236,,0.06844063180550133,0.03608112632514117,0.020041091627906977,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0225,,218897.9591512034,218855.52768045873,218836.24678480934,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.04990105390987223,,0.06844063180550133,0.03608112632514117,0.02254098680232558,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.025,,218897.9591512034,218855.52768045873,218839.60790986684,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.05490105390987224,,0.06844063180550133,0.03608112632514117,0.025040881976744186,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0275,,218897.9591512034,218855.52768045873,218842.96903492435,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.05990105390987224,,0.06844063180550133,0.03608112632514117,0.02754077715116279,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.03,,218897.9591512034,218855.52768045873,218846.33015998185,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.06490105390987225,,0.06844063180550133,0.03608112632514117,0.030040672325581393,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0325,,218897.9591512034,218855.52768045873,218849.69128503936,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.06990105390987224,,0.06844063180550133,0.03608112632514117,0.0325405675,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.034999999999999996,,218897.9591512034,218855.52768045873,218853.05241009683,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.07490105390987221,,0.06844063180550133,0.03608112632514117,0.0350404626744186,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0375,,218897.9591512034,218855.52768045873,218856.41353515434,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.07990105390987223,,0.06844063180550133,0.03608112632514117,0.037540357848837205,,Strongly Dominated (Baseline),Cost Saving,Strongly Dominated
0.039999999999999994,,218897.9591512034,218855.52768045873,218859.77466021184,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.9999874997243919,,0.14170419324320557,0.07698246848551457,0.08490105390987222,,0.06844063180550133,0.03608112632514117,0.040040253023255805,,Strongly Dominated (Baseline),Cost Saving,Strongly Dominated
0.042499999999999996,,218897.9591512034,218855.52768045873,218863.13578526935,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.14170419324320557,0.07698246848551457,0.08990105390987223,,0.06844063180550133,0.03608112632514117,0.04254014819767441,,Strongly Dominated (Baseline),Cost Saving,Strongly Dominated
0.045,,218897.9591512034,218855.52768045873,218866.49691032682,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.9999874997243919,,0.14170419324320557,0.07698246848551457,0.09490105390987223,,0.06844063180550133,0.03608112632514117,0.045040043372093025,,Strongly Dominated (Baseline),Cost Saving,Strongly Dominated
