pChorio,Cost,CRA,NSC,ECO,QALY,CRA,NSC,ECO,LY,CRA,NSC,ECO,Days in NICU,CRA,NSC,ECO,Received ABX,CRA,NSC,ECO,ICER ($/QALY),CRA,NSC,ECO
0.0,,218857.88989066292,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.08209727613209444,0.07698246848551457,0.0677831051919235,,0.03863842291589405,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.006900000000000001,,218866.80853252514,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.0953646221987611,0.07698246848551457,0.0677831051919235,,0.04527181779777438,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.013800000000000002,,218875.7271743874,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.10863196826542779,0.07698246848551457,0.0677831051919235,,0.05190521267965471,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.020700000000000003,,218884.64581624966,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243919,0.999987499724392,0.999987499724392,,0.12189931433209444,0.07698246848551457,0.0677831051919235,,0.05853860756153504,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.027600000000000003,,218893.56445811188,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.13516666039876113,0.07698246848551457,0.0677831051919235,,0.06517200244341538,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0345,,218902.48309997414,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.9999874997243922,0.999987499724392,0.999987499724392,,0.1484340064654278,0.07698246848551457,0.0677831051919235,,0.0718053973252957,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.041400000000000006,,218911.4017418364,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.16170135253209444,0.07698246848551457,0.0677831051919235,,0.07843879220717603,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0483,,218920.3203836986,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.1749686985987611,0.07698246848551457,0.0677831051919235,,0.08507218708905637,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.055200000000000006,,218929.23902556082,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.1882360446654278,0.07698246848551457,0.0677831051919235,,0.0917055819709367,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.06210000000000001,,218938.15766742307,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.2015033907320945,0.07698246848551457,0.0677831051919235,,0.09833897685281703,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.069,,218947.07630928533,218855.52768045873,218848.26754693806,,0.0,0.0,0.0,,0.999987499724392,0.999987499724392,0.999987499724392,,0.2147707367987611,0.07698246848551457,0.0677831051919235,,0.10497237173469737,0.03608112632514117,0.031481637544066784,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
