pIllAppearingBCPosYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.1329586,,4377.840015,3678.021599,3773.356438,,29.07265838,29.07668803,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,88127.69026
0.1353128,,4377.840015,3681.591009,3773.356438,,29.07265838,29.07666856,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,83328.78952
0.137667,,4377.840015,3685.16042,3773.356438,,29.07265838,29.0766491,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,78696.58298
0.1400212,,4377.840015,3688.72983,3773.356438,,29.07265838,29.07662963,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,74222.53352
0.1423754,,4377.840015,3692.299241,3773.356438,,29.07265838,29.07661017,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,69898.67716
0.1447296,,4377.840015,3695.868651,3773.356438,,29.07265838,29.07659071,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,65717.57582
0.1470838,,4377.840015,3699.438062,3773.356438,,29.07265838,29.07657124,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,61672.27458
0.149438,,4377.840015,3703.007472,3773.356438,,29.07265838,29.07655178,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,57756.26309
0.1517922,,4377.840015,3706.576883,3773.356438,,29.07265838,29.07653231,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,53963.4406
0.1541464,,4377.840015,3710.146293,3773.356438,,29.07265838,29.07651285,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,50288.08423
0.1565006,,4377.840015,3713.715704,3773.356438,,29.07265838,29.07649338,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,46724.82022
0.1588548,,4377.840015,3717.285114,3773.356438,,29.07265838,29.07647392,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,43268.59762
0.161209,,4377.840015,3720.854524,3773.356438,,29.07265838,29.07645445,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,39914.66449
0.1635632,,4377.840015,3724.423935,3773.356438,,29.07265838,29.07643499,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,36658.54604
0.1659174,,4377.840015,3727.993345,3773.356438,,29.07265838,29.07641553,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,33496.02475
