pIllAppearingGreen,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0118655,,4377.840015,3673.729823,3773.356438,,29.07265838,29.07671143,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,94131.48538
0.012115,,4377.840015,3677.215037,3773.356438,,29.07265838,29.07669243,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,89236.09147
0.0123645,,4377.840015,3680.700251,3773.356438,,29.07265838,29.07667342,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,84510.4157
0.012614,,4377.840015,3684.185465,3773.356438,,29.07265838,29.07665442,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,79945.78255
0.0128635,,4377.840015,3687.670679,3773.356438,,29.07265838,29.07663541,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,75534.09785
0.013113,,4377.840015,3691.155894,3773.356438,,29.07265838,29.0766164,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,71267.80094
0.0133625,,4377.840015,3694.641108,3773.356438,,29.07265838,29.0765974,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,67139.82141
0.013612,,4377.840015,3698.126322,3773.356438,,29.07265838,29.07657839,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,63143.54
0.0138615,,4377.840015,3701.611536,3773.356438,,29.07265838,29.07655939,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,59272.75316
0.014111,,4377.840015,3705.09675,3773.356438,,29.07265838,29.07654038,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,55521.64093
0.0143605,,4377.840015,3708.581964,3773.356438,,29.07265838,29.07652138,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,51884.73779
0.01461,,4377.840015,3712.067178,3773.356438,,29.07265838,29.07650237,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,48356.90599
0.0148595,,4377.840015,3715.552392,3773.356438,,29.07265838,29.07648337,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,44933.31142
0.015109,,4377.840015,3719.037606,3773.356438,,29.07265838,29.07646436,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,41609.40148
0.0153585,,4377.840015,3722.52282,3773.356438,,29.07265838,29.07644536,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,38380.88488
0.015608,,4377.840015,3726.008034,3773.356438,,29.07265838,29.07642635,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,35243.71315
0.0158575,,4377.840015,3729.493249,3773.356438,,29.07265838,29.07640735,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,32194.06371
0.016107,,4377.840015,3732.978463,3773.356438,,29.07265838,29.07638834,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,29228.32435
0.0163565,,4377.840015,3736.463677,3773.356438,,29.07265838,29.07636934,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,26343.07893
0.016606,,4377.840015,3739.948891,3773.356438,,29.07265838,29.07635033,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,23535.09426
0.0168555,,4377.840015,3743.434105,3773.356438,,29.07265838,29.07633133,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,20801.30802
0.017105,,4377.840015,3746.919319,3773.356438,,29.07265838,29.07631232,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,18138.81763
0.0173545,,4377.840015,3750.404533,3773.356438,,29.07265838,29.07629331,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,15544.86994
0.017604,,4377.840015,3753.889747,3773.356438,,29.07265838,29.07627431,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,13016.85176
0.0178535,,4377.840015,3757.374961,3773.356438,,29.07265838,29.0762553,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,10552.28108
0.018103,,4377.840015,3760.860175,3773.356438,,29.07265838,29.0762363,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,8148.798903
0.0183525,,4377.840015,3764.345389,3773.356438,,29.07265838,29.07621729,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,5804.161773
0.018602,,4377.840015,3767.830604,3773.356438,,29.07265838,29.07619829,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,3516.234747
0.0188515,,4377.840015,3771.315818,3773.356438,,29.07265838,29.07617928,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,1282.984926
0.019101,,4377.840015,3774.801032,3773.356438,,29.07265838,29.07616028,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0193505,,4377.840015,3778.286246,3773.356438,,29.07265838,29.07614127,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0196,,4377.840015,3781.77146,3773.356438,,29.07265838,29.07612227,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0198495,,4377.840015,3785.256674,3773.356438,,29.07265838,29.07610326,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.020099,,4377.840015,3788.741888,3773.356438,,29.07265838,29.07608426,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0203485,,4377.840015,3792.227102,3773.356438,,29.07265838,29.07606525,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.020598,,4377.840015,3795.712316,3773.356438,,29.07265838,29.07604625,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0208475,,4377.840015,3799.19753,3773.356438,,29.07265838,29.07602724,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.021097,,4377.840015,3802.682745,3773.356438,,29.07265838,29.07600824,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0213465,,4377.840015,3806.167959,3773.356438,,29.07265838,29.07598923,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.021596,,4377.840015,3809.653173,3773.356438,,29.07265838,29.07597022,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0218455,,4377.840015,3813.138387,3773.356438,,29.07265838,29.07595122,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.022095,,4377.840015,3816.623601,3773.356438,,29.07265838,29.07593221,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0223445,,4377.840015,3820.108815,3773.356438,,29.07265838,29.07591321,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.022594,,4377.840015,3823.594029,3773.356438,,29.07265838,29.0758942,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0228435,,4377.840015,3827.079243,3773.356438,,29.07265838,29.0758752,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.023093,,4377.840015,3830.564457,3773.356438,,29.07265838,29.07585619,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0233425,,4377.840015,3834.049671,3773.356438,,29.07265838,29.07583719,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.023592,,4377.840015,3837.534885,3773.356438,,29.07265838,29.07581818,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0238415,,4377.840015,3841.0201,3773.356438,,29.07265838,29.07579918,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.024091,,4377.840015,3844.505314,3773.356438,,29.07265838,29.07578017,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0243405,,4377.840015,3847.990528,3773.356438,,29.07265838,29.07576117,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.02459,,4377.840015,3851.475742,3773.356438,,29.07265838,29.07574216,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0248395,,4377.840015,3854.960956,3773.356438,,29.07265838,29.07572316,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.025089,,4377.840015,3858.44617,3773.356438,,29.07265838,29.07570415,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0253385,,4377.840015,3861.931384,3773.356438,,29.07265838,29.07568515,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.025588,,4377.840015,3865.416598,3773.356438,,29.07265838,29.07566614,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0258375,,4377.840015,3868.901812,3773.356438,,29.07265838,29.07564713,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.026087,,4377.840015,3872.387026,3773.356438,,29.07265838,29.07562813,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0263365,,4377.840015,3875.87224,3773.356438,,29.07265838,29.07560912,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.026586,,4377.840015,3879.357455,3773.356438,,29.07265838,29.07559012,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0268355,,4377.840015,3882.842669,3773.356438,,29.07265838,29.07557111,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.027085,,4377.840015,3886.327883,3773.356438,,29.07265838,29.07555211,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0273345,,4377.840015,3889.813097,3773.356438,,29.07265838,29.0755331,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.027584,,4377.840015,3893.298311,3773.356438,,29.07265838,29.0755141,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0278335,,4377.840015,3896.783525,3773.356438,,29.07265838,29.07549509,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.028083,,4377.840015,3900.268739,3773.356438,,29.07265838,29.07547609,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0283325,,4377.840015,3903.753953,3773.356438,,29.07265838,29.07545708,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.028582,,4377.840015,3907.239167,3773.356438,,29.07265838,29.07543808,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0288315,,4377.840015,3910.724381,3773.356438,,29.07265838,29.07541907,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.029081,,4377.840015,3914.209595,3773.356438,,29.07265838,29.07540007,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0293305,,4377.840015,3917.69481,3773.356438,,29.07265838,29.07538106,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.02958,,4377.840015,3921.180024,3773.356438,,29.07265838,29.07536205,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
