pOtotoxicity,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.00129,,205832.91295005954,205541.37203058525,205665.28783448032,,29.082171572914294,29.082451657660073,29.082608550035935,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Cost Saving,789814.057017047
0.003731,,205972.0089351825,205624.69704669347,205717.372163745,,29.0808497480104,29.081659822573602,29.08211359424362,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Cost Saving,204232.92852998315
0.006172,,206111.1049203055,205708.02206280164,205769.45649300964,,29.079527923106518,29.08086798748712,29.081618638451307,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Cost Saving,81841.53906288913
0.008612999999999999,,206250.2009054284,205791.34707890986,205821.5408222743,,29.07820609820263,29.08007615240064,29.08112368265899,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Cost Saving,28823.743394281417
0.011054,,206389.2968905514,205874.67209501803,205873.625151539,,29.076884273298745,29.079284317314166,29.080628726866678,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.013495,,206528.39287567436,205957.9971111262,205925.70948080363,,29.075562448394855,29.078492482227684,29.08013377107436,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.015936,,206667.48886079728,206041.32212723442,205977.7938100683,,29.07424062349097,29.077700647141207,29.07963881528205,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.018377,,206806.58484592027,206124.6471433426,206029.87813933298,,29.072918798587082,29.076908812054725,29.079143859489733,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.020818,,206945.68083104322,206207.97215945076,206081.96246859763,,29.071596973683196,29.076116976968247,29.07864890369742,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.023259,,207084.77681616618,206291.29717555898,206134.0467978623,,29.070275148779306,29.07532514188177,29.078153947905104,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
0.0257,,207223.87280128914,206374.62219166715,206186.13112712695,,29.068953323875423,29.074533306795292,29.07765899211279,,0.9999804811316589,0.9999804811316588,0.9999804811316589,,Strongly Dominated (Baseline),Strongly Dominated,Cost Saving
