pRed,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0354639,,4377.840015,3662.77424,3773.356438,,29.07265838,29.07679046,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,112914.494
0.0357022,,4377.840015,3666.291794,3773.356438,,29.07265838,29.07676984,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,107067.4716
0.0359405,,4377.840015,3669.809349,3773.356438,,29.07265838,29.07674921,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,101456.8159
0.0361788,,4377.840015,3673.326903,3773.356438,,29.07265838,29.07672858,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,96068.47814
0.0364171,,4377.840015,3676.844458,3773.356438,,29.07265838,29.07670795,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,90889.50128
0.0366554,,4377.840015,3680.362012,3773.356438,,29.07265838,29.07668732,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,85907.91595
0.0368937,,4377.840015,3683.879566,3773.356438,,29.07265838,29.07666669,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,81112.6481
0.037132,,4377.840015,3687.397121,3773.356438,,29.07265838,29.07664606,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,76493.43687
0.0373703,,4377.840015,3690.914675,3773.356438,,29.07265838,29.07662543,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,72040.76124
0.0376086,,4377.840015,3694.43223,3773.356438,,29.07265838,29.0766048,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,67745.77458
0.0378469,,4377.840015,3697.949784,3773.356438,,29.07265838,29.07658417,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,63600.24593
0.0380852,,4377.840015,3701.467339,3773.356438,,29.07265838,29.07656355,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,59596.50739
0.0383235,,4377.840015,3704.984893,3773.356438,,29.07265838,29.07654292,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,55727.40678
0.0385618,,4377.840015,3708.502448,3773.356438,,29.07265838,29.07652229,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,51986.26498
0.0388001,,4377.840015,3712.020002,3773.356438,,29.07265838,29.07650166,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,48366.83747
0.0390384,,4377.840015,3715.537556,3773.356438,,29.07265838,29.07648103,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,44863.27955
0.0392767,,4377.840015,3719.055111,3773.356438,,29.07265838,29.0764604,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,41470.11484
0.039515,,4377.840015,3722.572665,3773.356438,,29.07265838,29.07643977,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,38182.20672
0.0397533,,4377.840015,3726.09022,3773.356438,,29.07265838,29.07641914,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,34994.73236
0.0399916,,4377.840015,3729.607774,3773.356438,,29.07265838,29.07639851,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,31903.15916
0.0402299,,4377.840015,3733.125329,3773.356438,,29.07265838,29.07637788,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,28903.22321
0.0404682,,4377.840015,3736.642883,3773.356438,,29.07265838,29.07635726,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,25990.90969
0.0407065,,4377.840015,3740.160438,3773.356438,,29.07265838,29.07633663,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,23162.43492
0.0409448,,4377.840015,3743.677992,3773.356438,,29.07265838,29.076316,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,20414.23001
0.0411831,,4377.840015,3747.195547,3773.356438,,29.07265838,29.07629537,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,17742.92575
0.0414214,,4377.840015,3750.713101,3773.356438,,29.07265838,29.07627474,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,15145.33891
0.0416597,,4377.840015,3754.230655,3773.356438,,29.07265838,29.07625411,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,12618.45958
0.041898,,4377.840015,3757.74821,3773.356438,,29.07265838,29.07623348,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,10159.43947
0.0421363,,4377.840015,3761.265764,3773.356438,,29.07265838,29.07621285,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,7765.581272
0.0423746,,4377.840015,3764.783319,3773.356438,,29.07265838,29.07619222,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,5434.32875
0.0426129,,4377.840015,3768.300873,3773.356438,,29.07265838,29.07617159,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,3163.257652
0.0428512,,4377.840015,3771.818428,3773.356438,,29.07265838,29.07615096,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,950.0672922
0.0430895,,4377.840015,3775.335982,3773.356438,,29.07265838,29.07613034,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0433278,,4377.840015,3778.853537,3773.356438,,29.07265838,29.07610971,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0435661,,4377.840015,3782.371091,3773.356438,,29.07265838,29.07608908,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0438044,,4377.840015,3785.888645,3773.356438,,29.07265838,29.07606845,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0440427,,4377.840015,3789.4062,3773.356438,,29.07265838,29.07604782,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.044281,,4377.840015,3792.923754,3773.356438,,29.07265838,29.07602719,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0445193,,4377.840015,3796.441309,3773.356438,,29.07265838,29.07600656,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0447576,,4377.840015,3799.958863,3773.356438,,29.07265838,29.07598593,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0449959,,4377.840015,3803.476418,3773.356438,,29.07265838,29.0759653,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0452342,,4377.840015,3806.993972,3773.356438,,29.07265838,29.07594467,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0454725,,4377.840015,3810.511527,3773.356438,,29.07265838,29.07592405,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0457108,,4377.840015,3814.029081,3773.356438,,29.07265838,29.07590342,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0459491,,4377.840015,3817.546636,3773.356438,,29.07265838,29.07588279,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0461874,,4377.840015,3821.06419,3773.356438,,29.07265838,29.07586216,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0464257,,4377.840015,3824.581744,3773.356438,,29.07265838,29.07584153,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.046664,,4377.840015,3828.099299,3773.356438,,29.07265838,29.0758209,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0469023,,4377.840015,3831.616853,3773.356438,,29.07265838,29.07580027,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0471406,,4377.840015,3835.134408,3773.356438,,29.07265838,29.07577964,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0473789,,4377.840015,3838.651962,3773.356438,,29.07265838,29.07575901,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0476172,,4377.840015,3842.169517,3773.356438,,29.07265838,29.07573838,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0478555,,4377.840015,3845.687071,3773.356438,,29.07265838,29.07571776,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0480938,,4377.840015,3849.204626,3773.356438,,29.07265838,29.07569713,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0483321,,4377.840015,3852.72218,3773.356438,,29.07265838,29.0756765,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0485704,,4377.840015,3856.239735,3773.356438,,29.07265838,29.07565587,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.0488087,,4377.840015,3859.757289,3773.356438,,29.07265838,29.07563524,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.049047,,4377.840015,3863.274843,3773.356438,,29.07265838,29.07561461,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
