pYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.0843972,,4377.840015,3686.130995,3773.356438,,29.07265838,29.07663468,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,76841.74145
0.0851856,,4377.840015,3688.036669,3773.356438,,29.07265838,29.07662503,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,74529.17973
0.085974,,4377.840015,3689.942343,3773.356438,,29.07265838,29.07661537,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,72255.28939
0.0867624,,4377.840015,3691.848017,3773.356438,,29.07265838,29.07660572,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,70019.10845
0.0875508,,4377.840015,3693.753691,3773.356438,,29.07265838,29.07659607,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,67819.70659
0.0883392,,4377.840015,3695.659364,3773.356438,,29.07265838,29.07658642,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,65656.18384
0.0891276,,4377.840015,3697.565038,3773.356438,,29.07265838,29.07657676,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,63527.66935
0.089916,,4377.840015,3699.470712,3773.356438,,29.07265838,29.07656711,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,61433.32022
0.0907044,,4377.840015,3701.376386,3773.356438,,29.07265838,29.07655746,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,59372.32042
0.0914928,,4377.840015,3703.28206,3773.356438,,29.07265838,29.07654781,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,57343.87968
0.0922812,,4377.840015,3705.187733,3773.356438,,29.07265838,29.07653815,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Cost Saving,55347.2325
