cOtotoxicity,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
144741.0,,3647.358157327697,3272.147332925855,3431.117890072377,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,126741.34683592526
152044.79,,3661.5647883910265,3280.6561479717047,3437.773848376327,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,125264.13267012245
159348.58,,3675.771419454357,3289.1649630175543,3444.4298066802767,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,123786.91850431965
166652.37,,3689.978050517687,3297.6737780634035,3451.0857649842264,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,122309.7043385172
173956.16,,3704.184681581017,3306.182593109253,3457.741723288176,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,120832.49017271439
181259.95,,3718.3913126443467,3314.6914081551026,3464.397681592126,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,119355.27600691159
188563.74,,3732.597943707676,3323.200223200952,3471.0536398960753,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,117878.06184110841
195867.53,,3746.8045747710066,3331.7090382468014,3477.7095982000246,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,116400.84767530562
203171.32,,3761.0112058343366,3340.2178532926514,3484.3655565039744,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,114923.63350950244
210475.11,,3775.2178368976665,3348.7266683385005,3491.021514807924,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,113446.4193437
217778.9,,3789.4244679609965,3357.2354833843497,3497.677473111874,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,111969.20517789756
225082.69,,3803.6310990243264,3365.7442984301997,3504.3334314158237,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,110491.99101209438
232386.47999999998,,3817.8377300876564,3374.2531134760493,3510.989389719773,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,109014.77684629122
239690.27000000002,,3832.0443611509863,3382.761928521899,3517.6453480237233,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,107537.56268048877
246994.06,,3846.2509922143163,3391.270743567748,3524.3013063276726,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,106060.34851468597
254297.85,,3860.4576232776467,3399.7795586135976,3530.9572646316224,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,104583.13434888316
261601.64,,3874.664254340976,3408.2883736594467,3537.6132229355717,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,103105.92018308036
268905.43,,3888.870885404306,3416.7971887052963,3544.2691812395215,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,101628.70601727755
276209.22,,3903.077516467636,3425.306003751146,3550.9251395434712,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,100151.49185147476
283513.01,,3917.2841475309665,3433.8148187969955,3557.581097847421,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,98674.27768567194
290816.8,,3931.490778594296,3442.323633842845,3564.237056151371,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,97197.06351986913
298120.58999999997,,3945.697409657626,3450.8324488886947,3570.8930144553206,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,95719.84935406633
305424.38,,3959.9040407209563,3459.341263934544,3577.54897275927,,29.072658381420194,29.076515517473563,29.07776980868251,,0.9999610549353611,0.9999610549353609,0.999961054935361,,Strongly Dominated (Baseline),Cost Saving,94242.63518826352
